Elements, Results
8192, 207, 131, 171, 124, 116, 116, 146, 122, 126, 125, 122, 113, 130, 129, 126, 122, 131, 113, 113, 103, 98, 112, 103, 135, 130, 103, 109, 121, 113, 100, 115, 111, 142, 105, 126, 205, 125, 109, 192, 102, 123, 101
16384, 245, 223, 231, 178, 218, 189, 217, 193, 289, 202, 219, 183, 252, 191, 218, 153, 194, 214, 217, 295, 214, 215, 294, 216, 207, 241, 219, 203, 252, 227, 224, 206, 221, 231, 262, 216, 200, 215, 255, 208, 262, 243
32768, 225, 220, 262, 188, 221, 229, 300, 249, 273, 225, 308, 221, 261, 242, 235, 227, 227, 233, 287, 203, 290, 243, 313, 219, 261, 293, 246, 234, 238, 255, 262, 226, 236, 254, 245, 230, 228, 236, 284, 243, 261, 325
65536, 177, 152, 164, 161, 166, 171, 197, 167, 166, 192, 142, 171, 162, 147, 167, 204, 189, 149, 204, 261, 154, 171, 201, 165, 205, 210, 195, 171, 172, 224, 296, 164, 205, 194, 156, 147, 142, 156, 184, 153, 207, 199
131072, 351, 183, 183, 215, 240, 218, 221, 227, 240, 179, 170, 170, 181, 230, 253, 361, 178, 219, 194, 206, 234, 327, 170, 195, 203, 171, 352, 171, 168, 166, 182, 228, 410, 215, 247, 224, 174, 191, 217, 194, 168, 167
262144, 403, 299, 284, 290, 335, 289, 343, 313, 299, 340, 288, 300, 329, 316, 332, 280, 327, 294, 291, 298, 427, 346, 334, 296, 344, 343, 346, 326, 336, 281, 292, 292, 357, 327, 295, 335, 342, 295, 310, 301, 302, 339
524288, 507, 456, 422, 413, 457, 409, 422, 447, 451, 505, 408, 439, 454, 440, 405, 477, 486, 477, 443, 428, 425, 439, 453, 428, 419, 419, 498, 479, 499, 414, 420, 441, 405, 417, 404, 402, 428, 464, 493, 471, 424, 406
1048576, 799, 788, 754, 782, 707, 754, 789, 685, 711, 873, 703, 779, 765, 740, 690, 705, 712, 805, 675, 662, 731, 746, 742, 682, 654, 680, 763, 678, 744, 732, 718, 721, 657, 680, 720, 694, 766, 747, 677, 714, 695, 749
2097152, 1261, 1185, 1184, 1285, 1361, 1168, 1313, 1200, 1225, 1322, 1161, 1147, 1184, 1336, 1320, 1324, 1235, 1299, 1189, 1318, 1338, 1156, 1163, 1188, 1322, 1286, 1227, 1223, 1362, 1310, 1311, 1183, 1274, 1199, 1373, 1164, 1299, 1183, 1194, 1360, 1263, 1178
4194304, 3107, 2347, 2110, 2259, 2329, 2107, 2266, 2218, 2103, 2318, 2223, 2222, 2124, 2128, 2327, 2266, 2128, 2663, 2149, 2103, 2156, 2112, 2126, 2323, 2394, 2698, 2491, 2098, 2321, 2102, 2272, 2328, 2214, 2150, 2320, 2375, 2312, 2345, 2834, 2265, 2226, 2145
8388608, 4215, 4232, 4180, 4024, 4004, 4852, 4014, 4523, 4064, 4364, 4241, 4138, 4180, 4010, 4328, 3965, 4009, 4003, 4282, 4011, 4234, 4178, 4357, 4334, 4185, 4301, 4303, 4278, 3990, 3974, 4241, 4198, 4033, 4178, 4530, 4027, 4180, 4017, 4214, 3999, 4109, 4817
16777216, 8011, 9882, 8319, 8394, 8228, 8088, 8189, 7694, 7798, 8042, 7926, 8098, 8470, 7842, 7962, 7958, 8347, 8019, 7757, 8096, 8348, 7679, 7884, 7753, 8000, 7930, 8314, 7845, 7786, 8035, 7978, 8375, 7738, 8221, 7933, 7880, 7914, 8277, 7732, 7735, 7857, 8051
33554432, 15447, 15756, 15169, 15487, 15672, 15251, 16091, 15202, 15255, 15380, 16321, 15155, 15479, 15416, 15169, 15274, 15574, 15239, 15694, 15406, 15518, 29063, 15888, 15935, 15631, 15799, 15135, 15705, 15431, 14986, 15010, 15322, 16077, 15608, 15275, 16153, 15240, 15710, 15694, 22022, 15608, 15853
67108864, 30984, 30462, 30525, 29662, 30007, 30133, 30734, 29941, 29919, 30321, 29862, 31231, 30565, 34983, 30173, 30270, 35579, 30558, 30227, 30572, 30126, 29703, 30452, 30591, 30491, 30344, 30936, 38000, 30571, 30432, 30068, 30018, 30810, 30928, 30019, 34953, 31164, 30688, 30927, 30472, 30147, 30235
134217728, 61122, 60987, 60756, 60292, 59926, 60725, 60086, 61500, 60781, 60324, 60647, 78877, 60754, 61021, 62065, 60044, 60572, 59826, 60055, 60078, 97920, 60739, 60252, 60182, 60733, 60278, 59961, 60066, 61833, 61518, 60245, 62661, 60547, 60576, 60437, 60220, 61252, 60078, 95009, 60506, 60853, 61608
268435456, 126819, 171453, 166667, 152084, 127374, 129260, 134472, 125572, 125487, 123689, 124028, 122601, 123089, 123231, 122478, 123268, 122780, 124513, 122781, 123145, 125474, 124023, 123359, 123578, 122739, 122942, 122677, 122815, 123053, 122775, 124340, 122325, 122800, 122829, 122540, 123148, 122813, 123222, 123812, 123842, 122885, 122835
