Elements, Results
8192, 145, 126, 118, 126, 100, 134, 106, 144, 128, 113, 104, 116, 132, 122, 125, 103, 102, 144, 130, 127, 116, 104, 137, 111, 113, 103, 103, 138, 142, 102, 124, 120, 128, 99, 125, 127, 116, 137, 128, 135, 182, 132
16384, 193, 174, 194, 210, 243, 214, 250, 333, 233, 226, 243, 250, 269, 183, 198, 250, 217, 190, 241, 307, 210, 165, 242, 249, 230, 209, 232, 347, 254, 230, 195, 242, 252, 175, 243, 245, 257, 197, 259, 205, 234, 272
32768, 233, 226, 254, 289, 235, 264, 267, 250, 242, 223, 230, 253, 306, 238, 232, 268, 267, 263, 267, 233, 249, 244, 237, 237, 274, 231, 292, 284, 264, 226, 232, 253, 237, 235, 248, 263, 221, 238, 265, 280, 300, 296
65536, 167, 212, 160, 145, 153, 169, 157, 192, 151, 165, 214, 158, 167, 153, 227, 197, 158, 256, 163, 198, 157, 196, 219, 146, 178, 200, 169, 150, 212, 137, 187, 215, 204, 263, 194, 199, 164, 192, 278, 201, 153, 172
131072, 180, 215, 166, 341, 187, 171, 169, 201, 177, 227, 219, 221, 164, 184, 184, 230, 192, 226, 161, 197, 234, 298, 165, 215, 190, 164, 169, 189, 210, 174, 249, 226, 175, 193, 215, 202, 231, 223, 250, 231, 166, 167
262144, 294, 320, 280, 296, 336, 282, 315, 299, 349, 301, 306, 319, 316, 322, 316, 362, 352, 341, 293, 317, 273, 314, 332, 335, 309, 297, 314, 293, 311, 284, 346, 349, 288, 288, 393, 309, 368, 354, 287, 309, 292, 292
524288, 486, 426, 420, 425, 435, 412, 413, 423, 434, 415, 493, 438, 410, 419, 617, 481, 428, 418, 476, 477, 422, 396, 430, 438, 392, 409, 410, 410, 421, 432, 413, 424, 410, 489, 488, 410, 426, 434, 408, 422, 478, 397
1048576, 713, 688, 751, 704, 653, 673, 762, 782, 874, 697, 673, 683, 666, 769, 684, 674, 680, 800, 758, 777, 710, 776, 693, 763, 656, 772, 680, 654, 779, 738, 708, 664, 791, 819, 668, 646, 720, 671, 808, 673, 664, 693
2097152, 1197, 1180, 1398, 1390, 1354, 1246, 1184, 1536, 1292, 1340, 1315, 1307, 1348, 1310, 1158, 1160, 1336, 1141, 1410, 1219, 1195, 1436, 1317, 1192, 1257, 1182, 1164, 1183, 1247, 1171, 1288, 1305, 1357, 1227, 1263, 1274, 1276, 1344, 1227, 1839, 1290, 1171
4194304, 2157, 2158, 2333, 2107, 2283, 2139, 2151, 2075, 2107, 2350, 2284, 2244, 2147, 2276, 2236, 2296, 2716, 3002, 3153, 2132, 2154, 2307, 2316, 2310, 2145, 2107, 2129, 2361, 2120, 2108, 2074, 2359, 2143, 2238, 2105, 2115, 2322, 2277, 2097, 2155, 2177, 2495
8388608, 3961, 3990, 4252, 4331, 4001, 4144, 4013, 3967, 3995, 4326, 5202, 3980, 4167, 6356, 3983, 3961, 4141, 4386, 4481, 3996, 4252, 4025, 4824, 4196, 4028, 4110, 4304, 4130, 4000, 3969, 4150, 4783, 4218, 3961, 4000, 4187, 4084, 4325, 4256, 4187, 3981, 4079
16777216, 7837, 8102, 8023, 7867, 7806, 7716, 8180, 8139, 8236, 8100, 8072, 8088, 8082, 8088, 7801, 8131, 8228, 7972, 7852, 8203, 14025, 7698, 7833, 8434, 8191, 8059, 7701, 7860, 11337, 7905, 8484, 7699, 8158, 8037, 7905, 7825, 7772, 7772, 8454, 7771, 8452, 8324
33554432, 15263, 15520, 15429, 15316, 15605, 15733, 15094, 15273, 16102, 15448, 15587, 19749, 15618, 15718, 15141, 15728, 15896, 15264, 15633, 15405, 15653, 16303, 15758, 15546, 16665, 16197, 15912, 15491, 15218, 15624, 15347, 15546, 15522, 15882, 24808, 15483, 16187, 15354, 15128, 15394, 15480, 15100
67108864, 30668, 30590, 30843, 47567, 30302, 30433, 30494, 30391, 30155, 30379, 30921, 30521, 31775, 29846, 30010, 30232, 32233, 30214, 30094, 29647, 29778, 30065, 30437, 29926, 30764, 29889, 29581, 29651, 31202, 37767, 30839, 30975, 29863, 30161, 30425, 30135, 31081, 30193, 30384, 30904, 29974, 30105
134217728, 60360, 78159, 60017, 60923, 60295, 61032, 60559, 60218, 60643, 60101, 62057, 60251, 62546, 59995, 61024, 60614, 60731, 69355, 60299, 60453, 60223, 60168, 82025, 60374, 60281, 60697, 60504, 61983, 60443, 61236, 60290, 60940, 61496, 60099, 74233, 60670, 60963, 60417, 60606, 60433, 60796, 61886
268435456, 131078, 125386, 122349, 131762, 123099, 123492, 122619, 127990, 123577, 124129, 122952, 123931, 122886, 124170, 122617, 122484, 124507, 123225, 126512, 123519, 176566, 172185, 170293, 168885, 157633, 128040, 127263, 127791, 128247, 127158, 127416, 128517, 122720, 122671, 123349, 123399, 125392, 123736, 123136, 123752, 124204, 123706
