Elements, Results
8192, 1011, 902, 814, 812, 795, 827, 778, 760, 795, 815, 741, 742, 712, 813, 993, 851, 929, 858, 813, 792, 740, 758, 713, 750, 773, 732, 745, 777, 764, 756, 752, 792, 762, 803, 1037, 848, 788, 797, 768, 732, 738, 731
16384, 1056, 946, 884, 779, 806, 788, 757, 746, 755, 862, 785, 765, 823, 737, 725, 703, 767, 732, 737, 721, 696, 819, 831, 790, 750, 752, 748, 731, 728, 953, 800, 719, 730, 716, 722, 759, 753, 743, 725, 705, 777, 808
32768, 990, 901, 820, 815, 906, 774, 773, 813, 818, 786, 790, 768, 851, 982, 790, 777, 787, 771, 760, 800, 751, 783, 732, 738, 865, 943, 879, 820, 774, 773, 773, 754, 763, 800, 747, 764, 776, 767, 755, 739, 740, 759
65536, 1443, 943, 815, 1213, 800, 859, 783, 795, 767, 755, 750, 762, 765, 738, 778, 753, 766, 747, 740, 782, 823, 762, 767, 832, 745, 883, 929, 796, 823, 737, 756, 748, 742, 729, 774, 858, 798, 781, 803, 769, 804, 782
131072, 1391, 1043, 837, 910, 929, 881, 939, 815, 826, 815, 826, 834, 831, 846, 819, 822, 780, 781, 768, 851, 793, 736, 801, 777, 859, 885, 785, 773, 780, 761, 830, 765, 799, 793, 791, 820, 776, 787, 856, 858, 841, 816
262144, 1645, 1026, 871, 874, 890, 850, 781, 850, 808, 841, 809, 757, 849, 809, 787, 785, 808, 831, 788, 907, 936, 932, 922, 808, 802, 884, 813, 868, 809, 806, 796, 838, 851, 812, 818, 807, 845, 890, 845, 811, 834, 849
524288, 1473, 976, 874, 898, 897, 827, 870, 816, 906, 889, 871, 819, 870, 879, 922, 952, 942, 891, 982, 840, 1005, 899, 1011, 821, 839, 870, 903, 845, 930, 832, 835, 935, 935, 935, 981, 963, 923, 983, 857, 1096, 1074, 1122
1048576, 2125, 1259, 1249, 1218, 1307, 1221, 1211, 1378, 1276, 1238, 1294, 1292, 1291, 1305, 1335, 1435, 1393, 1329, 1348, 1318, 1354, 1315, 1387, 1425, 1422, 1415, 1563, 1259, 1350, 1273, 1407, 1452, 1408, 1420, 1505, 1418, 1477, 1380, 1385, 1404, 1351, 1373
2097152, 2720, 1986, 2017, 1940, 1908, 2013, 1817, 1973, 1822, 1917, 1893, 1956, 2118, 2499, 2354, 2529, 2559, 2137, 1967, 2433, 3043, 2209, 2237, 2211, 2330, 2577, 2090, 2218, 2127, 2139, 2477, 2219, 2179, 2156, 2343, 2232, 2101, 2248, 2140, 2364, 2243, 2412
4194304, 3953, 3280, 3294, 3333, 3447, 3288, 3440, 3515, 3412, 3517, 3714, 5013, 3673, 3933, 3807, 4122, 3685, 3779, 4074, 3850, 3684, 3851, 3877, 3889, 3956, 5162, 4109, 4972, 3852, 3759, 3838, 3895, 3952, 3918, 4002, 4022, 3927, 3920, 3949, 3949, 3967, 4013
8388608, 6144, 5839, 6179, 6355, 6664, 7051, 6982, 7275, 7575, 7003, 7166, 7327, 7219, 7314, 7131, 7195, 9695, 7139, 6892, 7027, 7340, 7251, 7306, 7430, 7490, 10315, 8885, 6825, 6872, 6994, 8190, 10537, 12237, 11682, 9673, 9148, 9699, 9705, 9673, 7173, 7106, 7383
16777216, 11373, 11745, 12520, 12932, 14087, 13277, 13457, 16679, 20146, 13109, 13334, 13678, 13642, 14479, 14825, 19174, 19883, 21224, 17438, 12337, 13700, 14292, 13935, 13988, 15776, 13348, 17478, 12893, 14745, 13522, 13639, 13790, 13910, 14345, 14278, 13675, 13789, 13719, 15747, 13656, 13970, 13498
33554432, 22264, 23678, 25704, 24758, 25175, 25699, 26587, 34838, 24272, 30155, 26416, 25911, 26271, 25306, 24882, 25091, 25002, 24909, 25684, 25894, 27058, 25640, 25813, 25539, 25230, 27790, 25095, 26274, 25177, 25098, 25003, 25133, 25123, 24950, 27266, 25234, 26022, 25697, 25965, 26552, 25300, 25972
67108864, 45188, 48143, 48465, 48860, 53152, 57786, 48116, 49126, 49315, 49940, 50136, 49884, 50493, 49671, 51210, 48950, 51525, 49793, 51157, 49654, 51186, 48536, 50055, 48500, 50672, 50556, 69002, 48764, 49676, 50380, 50131, 49680, 50512, 50684, 50884, 50190, 52519, 49941, 49834, 50615, 50363, 53061
134217728, 89656, 92764, 119004, 109435, 95151, 94840, 96332, 96283, 98751, 96029, 96715, 97901, 97885, 97390, 107181, 96237, 99614, 97308, 97379, 98108, 97238, 98691, 97756, 98008, 97157, 116854, 96569, 97127, 98251, 97909, 95809, 97447, 96756, 97644, 95760, 104372, 98344, 99246, 98628, 99085, 100728, 97868
268435456, 178813, 188650, 187898, 196459, 187352, 187835, 188101, 188500, 190099, 197513, 188322, 188753, 189366, 189256, 194933, 189618, 189293, 189957, 190748, 189211, 203877, 188684, 189287, 188016, 192799, 190455, 202166, 190285, 187818, 191638, 189390, 204884, 189334, 190799, 190644, 191788, 202874, 189153, 188361, 189262, 190047, 189040
