Elements, Results
8192, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14

16384, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27

32768, 62, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 61, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 54, 55, 55, 54, 55, 54, 55, 59, 55, 55, 55, 55, 55

65536, 160, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 108, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 109, 110, 110, 109, 109, 109, 110, 109, 109, 109, 110, 113, 113, 113, 113, 113, 113, 113, 113, 113

131072, 219, 217, 217, 217, 219, 216, 217, 215, 215, 217, 215, 215, 225, 280, 225, 224, 224, 239, 236, 236, 236, 237, 242, 241, 241, 241, 244, 242, 242, 242, 245, 242, 243, 244, 247, 244, 244, 242, 245, 242, 242, 242

262144, 446, 446, 451, 456, 456, 476, 478, 481, 489, 489, 498, 498, 500, 502, 502, 505, 514, 516, 531, 503, 500, 497, 500, 500, 502, 503, 504, 503, 503, 506, 506, 507, 504, 503, 503, 503, 504, 503, 503, 500, 500, 501

524288, 953, 983, 994, 984, 979, 976, 977, 982, 982, 1103, 1045, 954, 928, 899, 891, 923, 913, 935, 941, 950, 956, 959, 959, 959, 961, 964, 965, 970, 965, 964, 964, 1011, 953, 953, 953, 956, 958, 953, 953, 953, 953, 953

1048576, 2026, 2306, 2077, 1876, 1860, 1931, 1950, 1950, 1962, 1987, 1988, 1977, 2375, 1884, 1781, 1797, 1848, 1902, 1874, 1872, 1895, 1883, 1900, 1917, 1924, 1925, 1906, 1907, 1917, 1936, 1931, 1937, 1941, 1968, 1974, 1975, 1967, 2066, 1965, 1963, 1969, 1945

2097152, 3987, 3984, 3985, 4011, 4251, 3677, 3607, 3710, 3812, 3807, 3850, 3850, 3862, 3881, 3941, 3887, 3877, 3896, 3882, 3863, 3867, 3859, 3893, 3878, 3877, 3865, 3869, 3829, 3844, 3827, 3872, 3853, 3851, 3833, 3860, 3805, 3994, 3838, 3934, 3947, 4044, 3889

4194304, 7909, 9017, 7767, 7766, 7727, 7759, 7861, 7874, 7951, 7922, 7733, 7826, 7725, 7783, 7704, 7858, 7699, 7757, 7601, 7681, 7753, 8349, 7786, 7807, 7818, 7759, 7701, 7717, 7778, 7695, 7765, 7649, 7723, 7637, 7632, 7668, 7691, 7639, 7636, 7765, 7674, 7639

8388608, 15671, 15655, 15535, 15696, 15902, 15881, 15823, 15591, 16092, 15623, 15705, 15647, 15978, 15674, 15609, 15517, 15541, 15463, 15546, 15372, 15718, 15869, 15830, 15607, 15628, 15762, 15944, 15917, 15978, 15772, 15793, 15677, 15617, 15514, 15720, 15422, 15520, 15507, 15540, 15385, 15867, 15499

16777216, 31386, 30996, 30698, 30379, 30486, 30819, 30493, 30267, 30963, 30997, 30769, 31157, 30993, 30662, 30424, 30503, 30485, 30455, 30477, 30468, 30704, 30412, 30350, 30387, 30429, 30391, 30369, 30347, 30346, 30603, 30783, 30817, 30635, 30929, 30390, 30472, 30466, 30511, 30787, 30531, 30434, 30717

33554432, 61232, 60536, 60828, 60946, 60547, 60229, 61252, 60393, 61188, 60674, 62008, 60521, 60330, 60645, 60591, 60267, 60238, 60659, 60453, 60734, 60672, 60870, 61028, 60266, 60259, 60070, 60216, 61607, 62598, 61679, 60529, 60440, 60072, 60690, 59478, 59790, 59869, 59697, 59746, 59815, 59757, 59809

67108864, 122864, 119681, 119629, 119000, 120171, 119369, 119117, 120815, 120149, 122081, 121300, 120948, 119917, 119384, 119044, 119867, 119196, 119863, 123854, 118250, 118839, 119225, 119643, 120103, 120383, 120185, 122447, 119789, 119753, 120301, 118992, 118968, 118415, 119395, 119093, 122298, 119640, 118863, 118504, 119203, 119627, 119019

134217728, 242546, 238474, 240965, 241003, 241508, 240691, 239688, 239554, 239862, 239067, 239128, 240530, 239275, 239243, 238296, 237066, 238897, 238267, 237987, 238114, 239215, 238204, 241817, 240471, 237549, 238526, 239206, 240662, 239417, 238611, 243926, 238610, 237715, 240343, 241335, 238859, 237883, 238200, 238633, 240101, 238691, 238203

268435456, 480623, 475373, 480802, 475456, 477277, 475965, 476825, 473852, 476686, 476055, 479164, 474568, 471879, 475023, 474086, 475052, 473566, 475429, 471754, 473782, 474082, 472865, 471917, 474025, 474032, 474260, 473633, 472296, 473119, 469788, 474092, 469281, 475712, 472752, 475352, 472902, 474497, 468108, 466922, 472636, 470703, 472301

















