Elements, SingleCore CPU,  MultiCore CPU,Dournac, Catanzaro, -Divergence, Loop unrolling,ProducerConsumer, Coalesced,
      8192,             13,           1049,    125,       122,         131,            123,             127,       124,
     16384,             27,            763,    222,       232,         237,            232,             237,       234,
     32768,             54,            813,    249,       259,         259,            253,             254,       257,
     65536,            110,            798,    180,       178,         179,            184,             173,       170,
    131072,            225,            801,    218,       210,         212,            203,             204,       202,
    262144,            469,            830,    319,       328,         324,            315,             329,       322,
    524288,            920,            866,    442,       442,         439,            435,             446,       440,
   1048576,           1823,           1262,    727,       727,         715,            719,             741,       726,
   2097152,           3638,           1993,   1251,      1278,        1259,           1286,            1256,      1236,
   4194304,           7303,           3590,   2288,      2254,        2201,           2260,            2237,      2244,
   8388608,          14542,           6572,   4198,      4164,        4175,           4230,            4174,      4149,
  16777216,          29139,          12427,   8056,      8263,        8073,           8243,            8005,      8098,
  33554432,          58882,          24251,  16002,     15860,       15612,          15907,           15686,     15863,
  67108864,         117890,          48013,  30923,     31123,       30567,          30986,           31363,     30959,
 134217728,         238328,          96148,  62807,     62958,       62288,          62152,           61214,     60978,
 268435456,         471584,         188596, 126800,    123407,      132425,         130198,          132273,    132985,
