Elements, SingleCore CPU, MultiCore CPU, Dournac, Catanzaro, Divergence, Loop unrolling, ProducerConsumer, Coalesced
8192, 546, 34290, 7959123, 8266023, 8185201, 9057781, 9942118, 10103175
16384, 1221, 31617, 7877597, 8183822, 8170167, 9051180, 9995228, 10081498
32768, 2453, 34305, 8165481, 8201237, 8168842, 9032985, 10012410, 10092755
65536, 4540, 33433, 7880029, 8179207, 8172419, 9044163, 9943641, 10055569
131072, 9299, 35193, 7859913, 8184665, 8355214, 8945710, 10139511, 10250749
262144, 24259, 34404, 8176870, 8425038, 8283656, 8979210, 9979236, 10056410
524288, 41307, 37580, 7966282, 8208059, 8201047, 9018445, 9976506, 10059436
1048576, 83002, 52657, 7989731, 8448607, 8515628, 8990838, 10287592, 10414567
2097152, 155239, 86233, 8257217, 8503290, 8254648, 9049478, 10068785, 10217850
4194304, 302041, 142417, 8212312, 8501835, 8599006, 9294878, 10252267, 10537645
8388608, 601073, 289973, 8707118, 9062217, 8975308, 9559849, 10692632, 10694927
16777216, 1207257, 511679, 9112002, 9377032, 9393796, 10063672, 11170062, 11272989
33554432, 2428057, 1006516, 10296807, 10591586, 10500923, 11286016, 12573473, 12590486
67108864, 4869068, 2013980, 12780468, 12949326, 12871965, 13607375, 14669640, 14806629
134217728, 9743309, 4020255, 17541030, 17943797, 18146919, 18583476, 19600245, 19740762
268435456, 19533408, 7916325, 27983867, 28307733, 28159260, 28914435, 29966529, 30211189
