Elements, SingleCore CPU,  MultiCore CPU,Dournac, Catanzaro, Divergence, Loop unrolling,ProducerConsumer, Coalesced,
      8192,             14,            800,    257,       115,         112,            126,             113,       119,
     16384,             27,            776,    215,       230,         226,            231,             224,       233,
     32768,             54,            801,    243,       241,         248,            234,             245,       235,
     65536,            110,            814,    144,       148,         139,            139,             146,       148,
    131072,            233,            838,    149,       138,         139,            131,             141,       134,
    262144,            495,            860,    140,       140,         139,            139,             156,       137,
    524288,            962,            928,    156,       157,         152,            163,             156,       164,
   1048576,           1950,           1370,    202,       193,         188,            195,             192,       194,
   2097152,           3879,           2210,    236,       233,         233,            240,             223,       229,
   4194304,           7790,           3871,    286,       264,         282,            266,             275,       270,
   8388608,          15681,           7859,    366,       391,         350,            353,             368,       374,
  16777216,          30611,          14548,    669,       679,         659,            603,             609,       612,
  33554432,          60553,          25843,    935,       994,         953,           1057,             942,      1024,
  67108864,         119932,          50626,   1540,      1491,        1495,           1459,            1395,      1467,
 134217728,         239436,          98838,   2685,      2714,        2655,           2728,            2712,      2643,
 268435456,         474011,         190982,   5962,      5984,        5936,           5983,            6015,      6061,
