Elements, SingleCore CPU, MultiCore CPU, Dournac, Catanzaro, Divergence, Loop unrolling, ProducerConsumer, Coalesced
8192, 546, 31912, 13173, 5046, 4640, 5302, 4927, 4844
16384, 1092, 32529, 9302, 8816, 9144, 9616, 9545, 9589
32768, 2195, 33689, 9412, 9796, 9545, 9534, 9786, 10222
65536, 4529, 34059, 5702, 5801, 6074, 5571, 5571, 5809
131072, 9129, 34212, 5590, 5524, 5720, 5493, 5618, 5606
262144, 21910, 35169, 6059, 6022, 5978, 5827, 5872, 5965
524288, 37039, 36996, 6604, 6504, 7241, 6286, 7242, 6430
1048576, 74383, 51890, 7731, 7669, 7604, 7482, 7531, 8097
2097152, 148801, 81925, 9665, 9143, 9427, 9164, 10519, 9174
4194304, 307808, 140726, 12571, 10688, 10593, 10342, 11222, 11163
8388608, 606829, 267955, 16363, 16186, 16135, 16536, 18169, 15624
16777216, 1191031, 502623, 32849, 31617, 28607, 33806, 31995, 32544
33554432, 2410672, 991735, 45389, 43458, 45975, 48432, 47793, 46253
67108864, 4843147, 1979270, 73575, 73619, 71320, 73394, 70896, 71961
134217728, 9675407, 3948787, 125596, 124566, 125465, 123205, 124458, 124313
268435456, 19414638, 7851470, 270323, 271029, 270179, 268912, 268979, 270131
